0,24,3,15,3,5,4,5,0,0,0,0,0,10.0.0.10.0.0.0.0,10.0.0.10.0.0.0.0,4,0,1,13,0,3,0,1,Giro_da_Fúria
1,48,4,20,3,0,0,0,0,0,1,2,3,10.0.0.10.0.0.0.0,10.0.0.10.0.0.0.0,2,0,1,13,0,2,0,0,Toque_Sagrado
2,66,1,10,3,3,1,13,0,0,0,0,0,7.0.0.7.0.0.0.0,7.0.0.7.0.0.0.0,0,0,1,2,0,0,0,1,Golpe_Duplo
3,84,0,105,0,0,0,0,0,0,14,10,600,24.0.0.24.0.0.0.0,24.0.0.24.0.0.0.0,0,0,0,1,0,0,0,0,Possuído
4,72,1,30,1,5,4,75,0,0,0,0,0,9.0.0.9.0.0.0.0,9.0.0.9.0.0.0.0,0,0,1,1,0,0,0,1,Fanatismo
5,81,0,53,0,0,0,0,17,75,0,0,600,24.0.0.24.0.0.0.0,24.0.0.24.0.0.0.0,0,0,0,1,0,0,0,0,Aura_da_Vida
6,90,1,75,3,6,0,0,0,0,0,0,0,10.0.0.24.0.0.0.0,10.0.0.24.0.0.0.0,0,0,1,1,0,0,0,0,Fúria_Divina
7,224,6,140,5,5,3,190,0,0,0,0,0,24.0.0.24.0.0.0.0,24.0.0.5.0.0.0.0,4,0,1,13,0,3,0,1,Destino
8,21,1,12,15,1,1,15,0,0,0,0,0,8.0.0.7.0.0.0.0,8.0.0.7.0.0.0.0,0,0,1,1,0,0,0,1,Carga
9,45,0,0,0,0,0,0,0,0,0,0,0,20.0.0.24.0.0.0.0,20.0.0.8.0.0.0.0,0,0,0,0,0,0,1,0,Mestre_das_Armas
10,69,1,20,15,1,1,40,0,0,0,0,0,8.0.0.7.0.0.0.0,8.0.0.7.0.0.0.0,0,0,1,2,0,0,0,1,Golpe_Mortal
11,78,0,47,0,0,0,0,0,0,13,7,600,19.0.0.24.0.0.0.0,20.0.0.24.0.0.0.0,0,0,0,1,0,0,0,0,Assalto
12,72,1,25,5,1,1,60,0,0,0,0,0,7.0.0.5.0.0.0.0,7.0.0.5.0.0.0.0,0,0,1,2,0,0,0,1,Espada_da_Fênix
13,72,0,25,1,5,0,0,0,0,24,0,600,7.0.0.8.0.0.0.0,6.0.0.8.0.0.0.0,0,0,0,1,0,0,0,0,Samaritano
14,90,0,0,0,0,0,0,0,0,0,0,0,24.0.0.24.0.0.0.0,24.0.0.24.0.0.0.0,0,0,0,0,0,0,1,0,Noção_de_Combate
15,218,0,150,25,0,0,1,0,0,36,0,600,24.0.0.24.0.0.0.0,24.0.0.24.0.0.0.0,0,0,0,1,0,0,1,0,Armadura_Crítica
16,24,3,25,2,5,0,0,0,0,3,60,3,10.0.0.10.0.0.0.0,10.0.0.10.0.0.0.0,2,0,1,13,0,2,0,0,Perseguição
17,45,4,25,3,5,2,25,0,0,0,0,0,8.0.0.5.0.0.0.0,8.0.0.7.0.0.0.0,1,0,1,10,0,1,0,1,Espada_Flamejante
18,60,1,17,3,5,1,35,0,0,0,0,0,7.0.0.7.0.0.0.0,7.0.0.7.0.0.0.0,0,0,1,2,0,0,0,1,Contra_Ataque
19,78,1,22,4,5,3,50,0,0,7,1,2,8.0.0.7.0.0.0.0,8.0.0.7.0.0.0.0,2,0,1,1,0,2,0,1,Lâmina_Congelantem
20,66,1,30,4,5,1,65,20,2,0,0,1,9.0.0.5.0.0.0.0,9.0.0.5.0.0.0.0,0,0,1,1,0,0,0,1,Ataque_da_Alma
21,87,1,38,4,5,1,80,20,10,0,0,3,9.0.0.5.0.0.0.0,9.0.0.5.0.0.0.0,4,0,1,1,0,3,0,1,Punhalada_Venenosa
22,90,1,0,9,3,2,90,0,0,0,0,0,9.0.0.7.0.0.0.0,9.0.0.7.0.0.0.0,1,0,1,1,0,1,0,1,Exterminar
23,227,6,150,6,5,3,210,0,0,1,2,3,8.0.0.7.0.0.0.0,8.0.0.7.0.0.0.0,2,0,1,13,0,2,0,1,Tempestade_de_Gelo
